male genotype,fitness b,fitness a,fitness s
WW,1,1,1
WG,1,-hgm*sgm + 1,1
WR,1,-hrm*srm + 1,1
GG,1,1 - sgm,1
GR,1,1 - sgrm,1
RR,1,1 - srm,1
