Paternal genotype,WY,WY,WY,WY,BY,BY,BY,BY,WX,WX,WX,WX,BX,BX,BX,BX
"WWR,WGR",0,m*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2),0,m*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2),0,0,0,0,0,(1 - m)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2),0,(1 - m)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2),0,0,0,0
"WWR,BWW",r1*(1 - r2)/4 + r2*(1 - r1)/4,r1*r2/4 + (1 - r1)*(1 - r2)/4,0,0,r1*r2/4 + (1 - r1)*(1 - r2)/4,r1*(1 - r2)/4 + r2*(1 - r1)/4,0,0,r1*(1 - r2)/4 + r2*(1 - r1)/4,r1*r2/4 + (1 - r1)*(1 - r2)/4,0,0,r1*r2/4 + (1 - r1)*(1 - r2)/4,r1*(1 - r2)/4 + r2*(1 - r1)/4,0,0
"WWR,BWR",0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0
"WWR,BGW",m*r2*(1 - c)*(1 - cH)*(1 - r1)/2,c*m*(1 - cH)*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + m*(1 - c)*(1 - cH)*(1 - r1)*(1 - r2)/2,cH*m*(1 - c)*(r1*(1 - r2)/2 + r2*(1 - r1)/2) + m*r1*(1 - c)*(1 - cH)*(1 - r2)/2,c*cH*m*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + c*m*(1 - cH)*(r1*r2/2 + r1*(1 - r2)/2) + cH*m*(1 - c)*(r1*r2/2 + (1 - r1)*(1 - r2)/2) + m*r1*r2*(1 - c)*(1 - cH)/2,m*r1*r2*(1 - c)*(1 - cH)/2,c*m*(1 - cH)*(r1*r2/2 + r1*(1 - r2)/2) + m*r1*(1 - c)*(1 - cH)*(1 - r2)/2,cH*m*(1 - c)*(r1*r2/2 + (1 - r1)*(1 - r2)/2) + m*(1 - c)*(1 - cH)*(1 - r1)*(1 - r2)/2,c*cH*m*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + c*m*(1 - cH)*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + cH*m*(1 - c)*(r1*(1 - r2)/2 + r2*(1 - r1)/2) + m*r2*(1 - c)*(1 - cH)*(1 - r1)/2,r2*(1 - c)*(1 - cH)*(1 - m)*(1 - r1)/2,c*(1 - cH)*(1 - m)*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + (1 - c)*(1 - cH)*(1 - m)*(1 - r1)*(1 - r2)/2,cH*(1 - c)*(1 - m)*(r1*(1 - r2)/2 + r2*(1 - r1)/2) + r1*(1 - c)*(1 - cH)*(1 - m)*(1 - r2)/2,c*cH*(1 - m)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + c*(1 - cH)*(1 - m)*(r1*r2/2 + r1*(1 - r2)/2) + cH*(1 - c)*(1 - m)*(r1*r2/2 + (1 - r1)*(1 - r2)/2) + r1*r2*(1 - c)*(1 - cH)*(1 - m)/2,r1*r2*(1 - c)*(1 - cH)*(1 - m)/2,c*(1 - cH)*(1 - m)*(r1*r2/2 + r1*(1 - r2)/2) + r1*(1 - c)*(1 - cH)*(1 - m)*(1 - r2)/2,cH*(1 - c)*(1 - m)*(r1*r2/2 + (1 - r1)*(1 - r2)/2) + (1 - c)*(1 - cH)*(1 - m)*(1 - r1)*(1 - r2)/2,c*cH*(1 - m)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + c*(1 - cH)*(1 - m)*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + cH*(1 - c)*(1 - m)*(r1*(1 - r2)/2 + r2*(1 - r1)/2) + r2*(1 - c)*(1 - cH)*(1 - m)*(1 - r1)/2
"WWR,BGR",0,m*(1 - cH)*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2),0,cH*m*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + m*(1 - cH)*(r1*r2/2 + r1*(1 - r2)/2),0,m*(1 - cH)*(r1*r2/2 + r1*(1 - r2)/2),0,cH*m*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + m*(1 - cH)*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2),0,(1 - cH)*(1 - m)*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2),0,cH*(1 - m)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + (1 - cH)*(1 - m)*(r1*r2/2 + r1*(1 - r2)/2),0,(1 - cH)*(1 - m)*(r1*r2/2 + r1*(1 - r2)/2),0,cH*(1 - m)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + (1 - cH)*(1 - m)*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)
"WGW,WGW",0,0,2*c*m*(1 - c)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + m*(1 - c)^2*(r1*r2 + r1*(1 - r2) + r2*(1 - r1) + (1 - r1)*(1 - r2)),c^2*m*(r1*r2 + r1*(1 - r2) + r2*(1 - r1) + (1 - r1)*(1 - r2)) + 2*c*m*(1 - c)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2),0,0,0,0,0,0,2*c*(1 - c)*(1 - m)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + (1 - c)^2*(1 - m)*(r1*r2 + r1*(1 - r2) + r2*(1 - r1) + (1 - r1)*(1 - r2)),c^2*(1 - m)*(r1*r2 + r1*(1 - r2) + r2*(1 - r1) + (1 - r1)*(1 - r2)) + 2*c*(1 - c)*(1 - m)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2),0,0,0,0
"WGW,WGR",0,0,m*(1 - c)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2),c*m*(r1*r2 + r1*(1 - r2) + r2*(1 - r1) + (1 - r1)*(1 - r2)) + m*(1 - c)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2),0,0,0,0,0,0,(1 - c)*(1 - m)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2),c*(1 - m)*(r1*r2 + r1*(1 - r2) + r2*(1 - r1) + (1 - r1)*(1 - r2)) + (1 - c)*(1 - m)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2),0,0,0,0
"WGW,BWW",c*m*r1*r2*(1 - c)*(1 - cH)/2 + c*m*r1*(1 - c)*(1 - cH)*(1 - r2)/2 + m*(1 - c)^2*(1 - cH)*(r1*r2/2 + r1*(1 - r2)/2),c^2*m*(1 - cH)*(r1*r2/2 + r1*(1 - r2)/2) + c*m*r1*r2*(1 - c)*(1 - cH)/2 + c*m*r1*(1 - c)*(1 - cH)*(1 - r2)/2,c*cH*m*(1 - c)*(r1*r2/2 + (1 - r1)*(1 - r2)/2) + c*cH*m*(1 - c)*(r1*(1 - r2)/2 + r2*(1 - r1)/2) + c*m*r2*(1 - c)*(1 - cH)*(1 - r1)/2 + c*m*(1 - c)*(1 - cH)*(1 - r1)*(1 - r2)/2 + cH*m*(1 - c)^2*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + m*(1 - c)^2*(1 - cH)*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2),c^2*cH*m*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + c^2*m*(1 - cH)*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + c*cH*m*(1 - c)*(r1*r2/2 + (1 - r1)*(1 - r2)/2) + c*cH*m*(1 - c)*(r1*(1 - r2)/2 + r2*(1 - r1)/2) + c*m*r2*(1 - c)*(1 - cH)*(1 - r1)/2 + c*m*(1 - c)*(1 - cH)*(1 - r1)*(1 - r2)/2,c*m*r2*(1 - c)*(1 - cH)*(1 - r1)/2 + c*m*(1 - c)*(1 - cH)*(1 - r1)*(1 - r2)/2 + m*(1 - c)^2*(1 - cH)*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2),c^2*m*(1 - cH)*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + c*m*r2*(1 - c)*(1 - cH)*(1 - r1)/2 + c*m*(1 - c)*(1 - cH)*(1 - r1)*(1 - r2)/2,c*cH*m*(1 - c)*(r1*r2/2 + (1 - r1)*(1 - r2)/2) + c*cH*m*(1 - c)*(r1*(1 - r2)/2 + r2*(1 - r1)/2) + c*m*r1*r2*(1 - c)*(1 - cH)/2 + c*m*r1*(1 - c)*(1 - cH)*(1 - r2)/2 + cH*m*(1 - c)^2*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + m*(1 - c)^2*(1 - cH)*(r1*r2/2 + r1*(1 - r2)/2),c^2*cH*m*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + c^2*m*(1 - cH)*(r1*r2/2 + r1*(1 - r2)/2) + c*cH*m*(1 - c)*(r1*r2/2 + (1 - r1)*(1 - r2)/2) + c*cH*m*(1 - c)*(r1*(1 - r2)/2 + r2*(1 - r1)/2) + c*m*r1*r2*(1 - c)*(1 - cH)/2 + c*m*r1*(1 - c)*(1 - cH)*(1 - r2)/2,c*r1*r2*(1 - c)*(1 - cH)*(1 - m)/2 + c*r1*(1 - c)*(1 - cH)*(1 - m)*(1 - r2)/2 + (1 - c)^2*(1 - cH)*(1 - m)*(r1*r2/2 + r1*(1 - r2)/2),c^2*(1 - cH)*(1 - m)*(r1*r2/2 + r1*(1 - r2)/2) + c*r1*r2*(1 - c)*(1 - cH)*(1 - m)/2 + c*r1*(1 - c)*(1 - cH)*(1 - m)*(1 - r2)/2,c*cH*(1 - c)*(1 - m)*(r1*r2/2 + (1 - r1)*(1 - r2)/2) + c*cH*(1 - c)*(1 - m)*(r1*(1 - r2)/2 + r2*(1 - r1)/2) + c*r2*(1 - c)*(1 - cH)*(1 - m)*(1 - r1)/2 + c*(1 - c)*(1 - cH)*(1 - m)*(1 - r1)*(1 - r2)/2 + cH*(1 - c)^2*(1 - m)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + (1 - c)^2*(1 - cH)*(1 - m)*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2),c^2*cH*(1 - m)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + c^2*(1 - cH)*(1 - m)*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + c*cH*(1 - c)*(1 - m)*(r1*r2/2 + (1 - r1)*(1 - r2)/2) + c*cH*(1 - c)*(1 - m)*(r1*(1 - r2)/2 + r2*(1 - r1)/2) + c*r2*(1 - c)*(1 - cH)*(1 - m)*(1 - r1)/2 + c*(1 - c)*(1 - cH)*(1 - m)*(1 - r1)*(1 - r2)/2,c*r2*(1 - c)*(1 - cH)*(1 - m)*(1 - r1)/2 + c*(1 - c)*(1 - cH)*(1 - m)*(1 - r1)*(1 - r2)/2 + (1 - c)^2*(1 - cH)*(1 - m)*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2),c^2*(1 - cH)*(1 - m)*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + c*r2*(1 - c)*(1 - cH)*(1 - m)*(1 - r1)/2 + c*(1 - c)*(1 - cH)*(1 - m)*(1 - r1)*(1 - r2)/2,c*cH*(1 - c)*(1 - m)*(r1*r2/2 + (1 - r1)*(1 - r2)/2) + c*cH*(1 - c)*(1 - m)*(r1*(1 - r2)/2 + r2*(1 - r1)/2) + c*r1*r2*(1 - c)*(1 - cH)*(1 - m)/2 + c*r1*(1 - c)*(1 - cH)*(1 - m)*(1 - r2)/2 + cH*(1 - c)^2*(1 - m)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + (1 - c)^2*(1 - cH)*(1 - m)*(r1*r2/2 + r1*(1 - r2)/2),c^2*cH*(1 - m)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + c^2*(1 - cH)*(1 - m)*(r1*r2/2 + r1*(1 - r2)/2) + c*cH*(1 - c)*(1 - m)*(r1*r2/2 + (1 - r1)*(1 - r2)/2) + c*cH*(1 - c)*(1 - m)*(r1*(1 - r2)/2 + r2*(1 - r1)/2) + c*r1*r2*(1 - c)*(1 - cH)*(1 - m)/2 + c*r1*(1 - c)*(1 - cH)*(1 - m)*(1 - r2)/2
"WGW,BWR",m*r1*r2*(1 - c)*(1 - cH)/2,c*m*(1 - cH)*(r1*r2/2 + r1*(1 - r2)/2) + m*r1*(1 - c)*(1 - cH)*(1 - r2)/2,cH*m*(1 - c)*(r1*r2/2 + (1 - r1)*(1 - r2)/2) + m*(1 - c)*(1 - cH)*(1 - r1)*(1 - r2)/2,c*cH*m*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + c*m*(1 - cH)*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + cH*m*(1 - c)*(r1*(1 - r2)/2 + r2*(1 - r1)/2) + m*r2*(1 - c)*(1 - cH)*(1 - r1)/2,m*r2*(1 - c)*(1 - cH)*(1 - r1)/2,c*m*(1 - cH)*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + m*(1 - c)*(1 - cH)*(1 - r1)*(1 - r2)/2,cH*m*(1 - c)*(r1*(1 - r2)/2 + r2*(1 - r1)/2) + m*r1*(1 - c)*(1 - cH)*(1 - r2)/2,c*cH*m*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + c*m*(1 - cH)*(r1*r2/2 + r1*(1 - r2)/2) + cH*m*(1 - c)*(r1*r2/2 + (1 - r1)*(1 - r2)/2) + m*r1*r2*(1 - c)*(1 - cH)/2,r1*r2*(1 - c)*(1 - cH)*(1 - m)/2,c*(1 - cH)*(1 - m)*(r1*r2/2 + r1*(1 - r2)/2) + r1*(1 - c)*(1 - cH)*(1 - m)*(1 - r2)/2,cH*(1 - c)*(1 - m)*(r1*r2/2 + (1 - r1)*(1 - r2)/2) + (1 - c)*(1 - cH)*(1 - m)*(1 - r1)*(1 - r2)/2,c*cH*(1 - m)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + c*(1 - cH)*(1 - m)*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + cH*(1 - c)*(1 - m)*(r1*(1 - r2)/2 + r2*(1 - r1)/2) + r2*(1 - c)*(1 - cH)*(1 - m)*(1 - r1)/2,r2*(1 - c)*(1 - cH)*(1 - m)*(1 - r1)/2,c*(1 - cH)*(1 - m)*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + (1 - c)*(1 - cH)*(1 - m)*(1 - r1)*(1 - r2)/2,cH*(1 - c)*(1 - m)*(r1*(1 - r2)/2 + r2*(1 - r1)/2) + r1*(1 - c)*(1 - cH)*(1 - m)*(1 - r2)/2,c*cH*(1 - m)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + c*(1 - cH)*(1 - m)*(r1*r2/2 + r1*(1 - r2)/2) + cH*(1 - c)*(1 - m)*(r1*r2/2 + (1 - r1)*(1 - r2)/2) + r1*r2*(1 - c)*(1 - cH)*(1 - m)/2
"WGW,BGW",0,0,c*m*(1 - c)*(r1*r2/2 + (1 - r1)*(1 - r2)/2) + c*m*(1 - c)*(r1*(1 - r2)/2 + r2*(1 - r1)/2) + m*(1 - c)^2*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2),c^2*m*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + c*m*(1 - c)*(r1*r2/2 + (1 - r1)*(1 - r2)/2) + c*m*(1 - c)*(r1*(1 - r2)/2 + r2*(1 - r1)/2),0,0,c*m*(1 - c)*(r1*r2/2 + (1 - r1)*(1 - r2)/2) + c*m*(1 - c)*(r1*(1 - r2)/2 + r2*(1 - r1)/2) + m*(1 - c)^2*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2),c^2*m*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + c*m*(1 - c)*(r1*r2/2 + (1 - r1)*(1 - r2)/2) + c*m*(1 - c)*(r1*(1 - r2)/2 + r2*(1 - r1)/2),0,0,c*(1 - c)*(1 - m)*(r1*r2/2 + (1 - r1)*(1 - r2)/2) + c*(1 - c)*(1 - m)*(r1*(1 - r2)/2 + r2*(1 - r1)/2) + (1 - c)^2*(1 - m)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2),c^2*(1 - m)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + c*(1 - c)*(1 - m)*(r1*r2/2 + (1 - r1)*(1 - r2)/2) + c*(1 - c)*(1 - m)*(r1*(1 - r2)/2 + r2*(1 - r1)/2),0,0,c*(1 - c)*(1 - m)*(r1*r2/2 + (1 - r1)*(1 - r2)/2) + c*(1 - c)*(1 - m)*(r1*(1 - r2)/2 + r2*(1 - r1)/2) + (1 - c)^2*(1 - m)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2),c^2*(1 - m)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + c*(1 - c)*(1 - m)*(r1*r2/2 + (1 - r1)*(1 - r2)/2) + c*(1 - c)*(1 - m)*(r1*(1 - r2)/2 + r2*(1 - r1)/2)
"WGW,BGR",0,0,m*(1 - c)*(r1*r2/2 + (1 - r1)*(1 - r2)/2),c*m*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + m*(1 - c)*(r1*(1 - r2)/2 + r2*(1 - r1)/2),0,0,m*(1 - c)*(r1*(1 - r2)/2 + r2*(1 - r1)/2),c*m*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + m*(1 - c)*(r1*r2/2 + (1 - r1)*(1 - r2)/2),0,0,(1 - c)*(1 - m)*(r1*r2/2 + (1 - r1)*(1 - r2)/2),c*(1 - m)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + (1 - c)*(1 - m)*(r1*(1 - r2)/2 + r2*(1 - r1)/2),0,0,(1 - c)*(1 - m)*(r1*(1 - r2)/2 + r2*(1 - r1)/2),c*(1 - m)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + (1 - c)*(1 - m)*(r1*r2/2 + (1 - r1)*(1 - r2)/2)
"WGR,WGR",0,0,0,m*(r1*r2 + r1*(1 - r2) + r2*(1 - r1) + (1 - r1)*(1 - r2)),0,0,0,0,0,0,0,(1 - m)*(r1*r2 + r1*(1 - r2) + r2*(1 - r1) + (1 - r1)*(1 - r2)),0,0,0,0
"WGR,BWW",m*r1*(1 - c)*(1 - cH)*(1 - r2)/2,c*m*(1 - cH)*(r1*r2/2 + r1*(1 - r2)/2) + m*r1*r2*(1 - c)*(1 - cH)/2,cH*m*(1 - c)*(r1*(1 - r2)/2 + r2*(1 - r1)/2) + m*r2*(1 - c)*(1 - cH)*(1 - r1)/2,c*cH*m*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + c*m*(1 - cH)*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + cH*m*(1 - c)*(r1*r2/2 + (1 - r1)*(1 - r2)/2) + m*(1 - c)*(1 - cH)*(1 - r1)*(1 - r2)/2,m*(1 - c)*(1 - cH)*(1 - r1)*(1 - r2)/2,c*m*(1 - cH)*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + m*r2*(1 - c)*(1 - cH)*(1 - r1)/2,cH*m*(1 - c)*(r1*r2/2 + (1 - r1)*(1 - r2)/2) + m*r1*r2*(1 - c)*(1 - cH)/2,c*cH*m*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + c*m*(1 - cH)*(r1*r2/2 + r1*(1 - r2)/2) + cH*m*(1 - c)*(r1*(1 - r2)/2 + r2*(1 - r1)/2) + m*r1*(1 - c)*(1 - cH)*(1 - r2)/2,r1*(1 - c)*(1 - cH)*(1 - m)*(1 - r2)/2,c*(1 - cH)*(1 - m)*(r1*r2/2 + r1*(1 - r2)/2) + r1*r2*(1 - c)*(1 - cH)*(1 - m)/2,cH*(1 - c)*(1 - m)*(r1*(1 - r2)/2 + r2*(1 - r1)/2) + r2*(1 - c)*(1 - cH)*(1 - m)*(1 - r1)/2,c*cH*(1 - m)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + c*(1 - cH)*(1 - m)*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + cH*(1 - c)*(1 - m)*(r1*r2/2 + (1 - r1)*(1 - r2)/2) + (1 - c)*(1 - cH)*(1 - m)*(1 - r1)*(1 - r2)/2,(1 - c)*(1 - cH)*(1 - m)*(1 - r1)*(1 - r2)/2,c*(1 - cH)*(1 - m)*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + r2*(1 - c)*(1 - cH)*(1 - m)*(1 - r1)/2,cH*(1 - c)*(1 - m)*(r1*r2/2 + (1 - r1)*(1 - r2)/2) + r1*r2*(1 - c)*(1 - cH)*(1 - m)/2,c*cH*(1 - m)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + c*(1 - cH)*(1 - m)*(r1*r2/2 + r1*(1 - r2)/2) + cH*(1 - c)*(1 - m)*(r1*(1 - r2)/2 + r2*(1 - r1)/2) + r1*(1 - c)*(1 - cH)*(1 - m)*(1 - r2)/2
"WGR,BWR",0,m*(1 - cH)*(r1*r2/2 + r1*(1 - r2)/2),0,cH*m*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + m*(1 - cH)*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2),0,m*(1 - cH)*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2),0,cH*m*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + m*(1 - cH)*(r1*r2/2 + r1*(1 - r2)/2),0,(1 - cH)*(1 - m)*(r1*r2/2 + r1*(1 - r2)/2),0,cH*(1 - m)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + (1 - cH)*(1 - m)*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2),0,(1 - cH)*(1 - m)*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2),0,cH*(1 - m)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + (1 - cH)*(1 - m)*(r1*r2/2 + r1*(1 - r2)/2)
"WGR,BGW",0,0,m*(1 - c)*(r1*(1 - r2)/2 + r2*(1 - r1)/2),c*m*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + m*(1 - c)*(r1*r2/2 + (1 - r1)*(1 - r2)/2),0,0,m*(1 - c)*(r1*r2/2 + (1 - r1)*(1 - r2)/2),c*m*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + m*(1 - c)*(r1*(1 - r2)/2 + r2*(1 - r1)/2),0,0,(1 - c)*(1 - m)*(r1*(1 - r2)/2 + r2*(1 - r1)/2),c*(1 - m)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + (1 - c)*(1 - m)*(r1*r2/2 + (1 - r1)*(1 - r2)/2),0,0,(1 - c)*(1 - m)*(r1*r2/2 + (1 - r1)*(1 - r2)/2),c*(1 - m)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + (1 - c)*(1 - m)*(r1*(1 - r2)/2 + r2*(1 - r1)/2)
"WGR,BGR",0,0,0,m*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2),0,0,0,m*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2),0,0,0,(1 - m)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2),0,0,0,(1 - m)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)
"BWW,BWW",0,0,0,0,r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2,0,0,0,0,0,0,0,r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2,0,0,0
"BWW,BWR",0,0,0,0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,0,0,0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0
